epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,3284.95,0.76205,0.71966,1.16032,0.89366,0.875,0.90285,0.66181,0.76152,0.80485,1.2969,0.000977,0.000977,0.000977
157,3305.94,0.79285,0.76492,1.17704,0.87349,0.86368,0.91425,0.7294,0.81163,0.80741,1.24284,0.0009704,0.0009704,0.0009704
158,3327.02,0.76006,0.73862,1.15361,0.93641,0.92121,0.9233,0.6551,0.93944,0.65257,1.38286,0.0009638,0.0009638,0.0009638
159,3348.15,0.79148,0.74832,1.1864,0.93323,0.8736,0.93347,0.71054,0.85947,0.68745,1.30523,0.0009572,0.0009572,0.0009572
160,3369.24,0.75885,0.73736,1.15707,0.92046,0.875,0.88994,0.59697,0.89845,0.99266,1.36599,0.0009506,0.0009506,0.0009506
161,3390.33,0.73468,0.69394,1.13189,0.96066,0.875,0.94009,0.65959,0.86598,0.68459,1.40549,0.000944,0.000944,0.000944
162,3411.37,0.73595,0.70732,1.15677,0.9291,0.9375,0.92934,0.66508,0.86126,0.69672,1.2912,0.0009374,0.0009374,0.0009374
163,3432.42,0.76322,0.7283,1.14179,0.82883,0.90876,0.91441,0.64529,0.92331,0.75883,1.53041,0.0009308,0.0009308,0.0009308
164,3453.52,0.76966,0.72918,1.17112,0.93675,0.92619,0.95168,0.67508,0.99614,0.65109,1.57336,0.0009242,0.0009242,0.0009242
165,3474.69,0.7737,0.73188,1.15828,1,0.74476,0.89912,0.67796,0.90355,0.76085,1.42783,0.0009176,0.0009176,0.0009176
166,3495.74,0.74866,0.72795,1.1376,0.78461,0.91152,0.90078,0.69444,0.76092,0.79971,1.22343,0.000911,0.000911,0.000911
167,3516.78,0.79346,0.72971,1.17081,0.92833,0.875,0.9105,0.74884,0.75341,0.70049,1.23848,0.0009044,0.0009044,0.0009044
168,3537.89,0.74534,0.70665,1.16141,0.91317,0.8125,0.91172,0.66604,0.81348,0.72021,1.3381,0.0008978,0.0008978,0.0008978
169,3559,0.72451,0.71145,1.14048,0.76341,0.80701,0.87656,0.65749,0.83085,0.87701,1.2984,0.0008912,0.0008912,0.0008912
170,3580.08,0.74357,0.71092,1.13706,0.91723,0.9375,0.93997,0.74123,0.72749,0.71728,1.17653,0.0008846,0.0008846,0.0008846
171,3601.14,0.74415,0.71047,1.14789,0.92717,0.9375,0.93761,0.71081,0.74336,0.75561,1.16918,0.000878,0.000878,0.000878
172,3622.26,0.72815,0.69494,1.14182,0.92756,0.9375,0.93403,0.74077,0.6518,0.70018,1.12345,0.0008714,0.0008714,0.0008714
173,3643.4,0.73512,0.6873,1.1449,0.90302,0.875,0.93309,0.6426,0.97273,0.72377,1.48531,0.0008648,0.0008648,0.0008648
174,3664.46,0.71447,0.66371,1.13664,0.87934,0.9375,0.93614,0.67364,0.85387,0.7699,1.29621,0.0008582,0.0008582,0.0008582
